uas_hist,vas_hist,uas_fut,vas_fut,date_hist,date_fut
0.672975123,2.666315317,2.388062179,1.828114092,1999-12-01,2039-12-01
3.113580227,1.809548855,3.183899045,2.412139773,2000-01-01,2040-01-01
0.680753835,1.959838629,1.152197301,1.539711356,2000-02-01,2040-02-01
1.414969265,-0.31095475,0.333200663,1.125734001,2000-03-01,2040-03-01
0.463318352,0.297515124,2.090399623,1.09186691,2000-04-01,2040-04-01
0.889772743,0.384674739,1.14277795,0.665908374,2000-05-01,2040-05-01
0.432326388,-0.972833037,0.851349592,-0.595330983,2000-06-01,2040-06-01
1.276358187,-1.666688561,1.160525143,-0.816859692,2000-07-01,2040-07-01
1.588377059,-0.38304317,1.512264907,-0.796221945,2000-08-01,2040-08-01
1.13230738,1.011338115,1.440018684,-0.550302316,2000-09-01,2040-09-01
0.87873596,1.081672013,0.47566396,1.445269823,2000-10-01,2040-10-01
1.612838387,2.019154124,-0.164133251,1.147507787,2000-11-01,2040-11-01
2.495176375,1.895357817,0.919021964,2.477464557,2000-12-01,2040-12-01
1.595476806,1.893293679,1.970098138,2.794160485,2001-01-01,2041-01-01
3.076159835,2.155583262,0.909310758,1.727166712,2001-02-01,2041-02-01
1.893672049,0.695894837,0.472904041,0.00498867,2001-03-01,2041-03-01
2.87926054,2.134338975,-0.884901807,-1.593358576,2001-04-01,2041-04-01
0.875970185,-0.792963147,1.277909368,-0.64380914,2001-05-01,2041-05-01
1.187209308,-0.145794518,1.701049268,0.181580812,2001-06-01,2041-06-01
1.008239418,-0.384252459,0.357389681,-1.148623854,2001-07-01,2041-07-01
1.941328824,-0.221532986,0.301282659,-0.974751204,2001-08-01,2041-08-01
1.813233972,1.060453355,1.696829557,0.405429751,2001-09-01,2041-09-01
0.337416366,0.638230592,1.234590709,0.506428294,2001-10-01,2041-10-01
1.973305464,1.372931659,2.444417,1.42240268,2001-11-01,2041-11-01
1.547620058,2.533149958,1.630569458,1.570670068,2001-12-01,2041-12-01
1.727452397,1.463150859,2.036873937,1.271175295,2002-01-01,2042-01-01
2.673800647,1.587907314,0.961871743,0.801670235,2002-02-01,2042-02-01
1.810431242,0.503148019,0.614672214,1.585219443,2002-03-01,2042-03-01
1.076698095,-0.142726485,1.039251879,0.546276048,2002-04-01,2042-04-01
0.857169449,-0.527711086,1.348054171,-0.56093204,2002-05-01,2042-05-01
0.711885154,-0.139106724,0.047312975,-0.809468091,2002-06-01,2042-06-01
1.070507079,-1.290546119,0.28376806,-0.468201142,2002-07-01,2042-07-01
1.80229342,-0.267983794,0.972926378,-1.74689579,2002-08-01,2042-08-01
1.112898588,-0.487337083,1.027135491,0.226727944,2002-09-01,2042-09-01
1.074368596,0.736451626,0.837996185,1.445923299,2002-10-01,2042-10-01
3.010575652,1.368180811,2.785491467,1.750527337,2002-11-01,2042-11-01
3.050168872,2.423296571,2.089826182,1.91773504,2002-12-01,2042-12-01
1.715088427,2.269031703,0.845503286,2.404887915,2003-01-01,2043-01-01
1.348979652,0.752273127,2.603467703,1.007404283,2003-02-01,2043-02-01
2.000005186,0.578453362,2.090688348,1.753793895,2003-03-01,2043-03-01
3.194005966,0.064024866,0.224480703,-0.148526919,2003-04-01,2043-04-01
1.672636211,-0.487615488,-0.352154076,-1.701176345,2003-05-01,2043-05-01
0.149058312,-0.520313375,0.657667696,-0.749380648,2003-06-01,2043-06-01
0.68607305,-1.129476964,-0.373530835,-1.772527039,2003-07-01,2043-07-01
0.810271978,-0.78078115,0.24792695,-1.551275015,2003-08-01,2043-08-01
-0.108354189,-0.248057685,1.173201859,-0.326334164,2003-09-01,2043-09-01
-0.1222637,1.074385583,0.376585171,0.626381636,2003-10-01,2043-10-01
0.57737343,1.474507272,1.729851365,2.546741366,2003-11-01,2043-11-01
0.809151374,1.999005079,1.245100498,1.871892035,2003-12-01,2043-12-01
2.563302398,1.448124915,0.840974808,2.121736646,2004-01-01,2044-01-01
-0.415247381,2.622276664,1.081079185,2.764348269,2004-02-01,2044-02-01
1.277535103,1.280697241,2.649993539,2.397666693,2004-03-01,2044-03-01
1.304023325,-0.403716147,1.738338172,0.595607877,2004-04-01,2044-04-01
0.421016395,-1.580537736,0.325480867,-1.075398982,2004-05-01,2044-05-01
0.942904249,-0.306293458,0.744724408,-0.391757946,2004-06-01,2044-06-01
0.698816627,-0.78025651,1.426177531,-0.900551617,2004-07-01,2044-07-01
1.363211811,-0.812920734,0.502373993,-1.604321837,2004-08-01,2044-08-01
-0.205044961,-0.349083632,1.05134818,-0.669233605,2004-09-01,2044-09-01
0.574125394,1.08435595,1.330002427,0.788398724,2004-10-01,2044-10-01
1.428328559,2.048542857,2.864629149,1.423105493,2004-11-01,2044-11-01
0.90480125,2.694739103,2.700867653,1.772449479,2004-12-01,2044-12-01
2.227109432,2.214995384,-0.224429689,0.683065683,2005-01-01,2045-01-01
2.0428738,0.730779089,2.726590514,0.67859745,2005-02-01,2045-02-01
1.009318888,1.095097288,0.760547668,0.325600643,2005-03-01,2045-03-01
1.580420136,1.112339854,0.763883829,-0.226477474,2005-04-01,2045-04-01
0.420774534,-1.552734137,1.096085608,0.259720236,2005-05-01,2045-05-01
0.844232321,-0.980165154,0.50480628,-1.012368709,2005-06-01,2045-06-01
1.108913362,-0.743020549,0.312030613,-1.575193524,2005-07-01,2045-07-01
1.567372799,-0.286982797,1.34735404,-0.9132092,2005-08-01,2045-08-01
1.202298522,0.68753472,0.518211588,-0.667624705,2005-09-01,2045-09-01
0.016574003,-0.352525119,1.429602861,0.899625778,2005-10-01,2045-10-01
2.648242712,2.387824893,1.252522208,0.984093428,2005-11-01,2045-11-01
2.613921762,3.175606728,0.976290643,2.35553813,2005-12-01,2045-12-01
2.689231336,3.305856466,1.111240894,1.432595611,2006-01-01,2046-01-01
2.412863612,1.327293366,-0.160147212,0.485248148,2006-02-01,2046-02-01
-1.467451811,0.372488409,0.301320732,0.932071727,2006-03-01,2046-03-01
1.125570059,-0.171911485,0.98735857,0.033771366,2006-04-01,2046-04-01
0.673034208,-1.507224023,0.438093305,-1.245244026,2006-05-01,2046-05-01
0.809503414,-0.624935746,1.545439899,0.177256744,2006-06-01,2046-06-01
1.285235792,-1.003693104,1.080390096,-1.136413395,2006-07-01,2046-07-01
1.254801154,-0.820611447,1.231569678,-0.895989031,2006-08-01,2046-08-01
0.897872418,-0.359394759,1.144921064,-0.134667132,2006-09-01,2046-09-01
1.048634142,1.950689971,0.528567463,1.272956431,2006-10-01,2046-10-01
2.983515859,2.961203814,0.825820923,1.298296452,2006-11-01,2046-11-01
0.492516533,2.128924608,1.993575692,2.980370164,2006-12-01,2046-12-01
0.78813988,1.389000237,2.769684434,1.89030844,2007-01-01,2047-01-01
1.197227836,2.933963478,0.616074398,0.256063327,2007-02-01,2047-02-01
0.537862703,0.433059469,1.827471256,1.038514256,2007-03-01,2047-03-01
0.232913673,-1.180492699,0.428928554,-0.120964311,2007-04-01,2047-04-01
0.865000013,0.354113698,0.109921478,-1.182965517,2007-05-01,2047-05-01
0.36333539,-0.85297671,0.837363362,-0.45827359,2007-06-01,2047-06-01
-0.165691346,-1.936962247,0.095717534,-1.612493813,2007-07-01,2047-07-01
0.810260653,-0.90433839,0.171280283,-1.359758258,2007-08-01,2047-08-01
-0.303743914,-0.239307672,0.782831565,-0.696050048,2007-09-01,2047-09-01
1.497731507,1.374786794,2.416900516,1.365510821,2007-10-01,2047-10-01
1.670938402,0.474353459,2.69260633,2.659610152,2007-11-01,2047-11-01
2.126486778,3.280927181,2.925481558,2.697277665,2007-12-01,2047-12-01
2.704256654,1.795272827,2.808835864,2.554430127,2008-01-01,2048-01-01
4.04777348,1.713473439,1.804319978,0.950154305,2008-02-01,2048-02-01
0.699248612,0.754072815,0.287780516,-0.053424001,2008-03-01,2048-03-01
0.714893013,0.409814216,1.596711099,1.693648934,2008-04-01,2048-04-01
0.342494532,-0.527989417,1.695021063,-1.166760206,2008-05-01,2048-05-01
0.148010991,-1.1424568,0.735761553,-0.912080288,2008-06-01,2048-06-01
1.658511072,-0.655179784,0.58568041,-1.619691491,2008-07-01,2048-07-01
1.654563159,-0.652779192,0.789453447,-0.475281432,2008-08-01,2048-08-01
0.660456181,0.389722109,0.238240743,-0.664274558,2008-09-01,2048-09-01
0.474632978,-0.371240884,0.95574829,0.70853639,2008-10-01,2048-10-01
1.830697775,2.090598106,2.569577694,2.821872234,2008-11-01,2048-11-01
3.432242513,2.186203003,2.951161146,3.274783492,2008-12-01,2048-12-01
2.315981388,1.675918221,2.399309397,1.340242803,2009-01-01,2049-01-01
1.338005185,-0.024849266,1.29737249,1.375990272,2009-02-01,2049-02-01
1.513642818,0.232232176,1.001662374,1.111088753,2009-03-01,2049-03-01
0.236574031,-0.224321255,-0.1859442,0.2822215,2009-04-01,2049-04-01
0.820928991,-0.52147159,1.128814131,-0.430823684,2009-05-01,2049-05-01
0.922587991,-0.235880226,0.654820442,-0.17228727,2009-06-01,2049-06-01
